pickup_datetime,pickup_latitude,pickup_longitude,uber_base,trip_distance,fare_amount,driver_rating,vehicle_type,ride_status,payment_method,hour,day,month
2014-04-11 17:58:00,40.7457,-73.9939,B02598,11.525228448689742,288.1307112172435,4.984701502881021,SUV,Completed,Card,17,Friday,April
2014-04-22 12:04:00,40.7625,-73.9862,B02617,1.2639097500121237,31.59774375030309,3.759181009885973,Sedan,Completed,Card,12,Tuesday,April
2014-04-30 23:44:00,40.7155,-74.0333,B02617,18.71145019001916,467.7862547504789,4.561085582906914,SUV,Completed,Cash,23,Wednesday,April
2014-04-19 01:32:00,40.7627,-73.9713,B02682,11.852834263666626,296.32085659166563,3.816966684672556,SUV,Completed,UPI,1,Saturday,April
2014-04-06 17:04:00,40.7164,-74.0109,B02598,12.495030686616897,312.3757671654224,4.254496926367483,SUV,Completed,Cash,17,Sunday,April
2014-04-05 15:44:00,40.7509,-73.9826,B02682,10.753515384317904,268.8378846079476,4.535751328806059,SUV,Completed,Cash,15,Saturday,April
2014-04-03 15:05:00,40.7664,-73.9813,B02617,17.988438632958974,449.71096582397433,4.5275198667437655,Mini,Completed,UPI,15,Thursday,April
2014-04-10 17:57:00,40.7202,-74.0109,B02682,18.30296160172971,457.5740400432428,4.034956985381671,Mini,Cancelled,Cash,17,Thursday,April
2014-04-30 20:11:00,40.7493,-73.9924,B02682,4.924195557202365,123.10488893005912,4.1570062073341125,SUV,Completed,Card,20,Wednesday,April
2014-04-10 06:31:00,40.7791,-73.9827,B02598,14.998328156284018,374.9582039071004,4.466852693476525,Sedan,Completed,Cash,6,Thursday,April
2014-04-17 16:02:00,40.7272,-74.0055,B02617,14.627824105744052,365.6956026436013,3.6854725837932176,Mini,Completed,UPI,16,Thursday,April
2014-04-15 13:30:00,40.7334,-73.9582,B02682,17.668009479908353,441.7002369977088,3.9082341366119167,Sedan,Completed,Cash,13,Tuesday,April
2014-04-11 11:24:00,40.7066,-73.7499,B02617,4.932612394340641,123.31530985851602,4.787578517757118,Sedan,Completed,Cash,11,Friday,April
2014-04-01 13:11:00,40.7418,-73.9752,B02598,4.089799947770829,102.24499869427072,4.270004085114726,SUV,Cancelled,UPI,13,Tuesday,April
2014-04-10 11:25:00,40.7245,-73.9939,B02682,1.3438828631918769,33.597071579796925,3.594652140941625,Mini,Completed,Cash,11,Thursday,April
2014-04-27 09:40:00,40.723,-73.9948,B02682,9.426737841130397,235.66844602825984,4.902794841441173,Sedan,Completed,UPI,9,Sunday,April
2014-04-17 17:28:00,40.7843,-73.9777,B02682,5.341665647691726,133.54164119229316,4.035732911044804,Mini,Completed,Card,17,Thursday,April
2014-04-30 22:35:00,40.7693,-73.983,B02598,2.895349616842239,72.38374042105598,3.5838859396891167,SUV,Completed,Card,22,Wednesday,April
2014-04-29 07:19:00,40.7349,-73.983,B02617,10.801790818162674,270.04477045406685,4.745480119189391,SUV,Completed,Card,7,Tuesday,April
2014-04-11 06:58:00,40.7477,-74.0061,B02598,14.848343520819794,371.20858802049486,3.723938930209048,Mini,Cancelled,Cash,6,Friday,April
2014-04-03 13:27:00,40.7365,-73.9928,B02512,8.872475523817648,221.8118880954412,4.22414338223108,SUV,Completed,UPI,13,Thursday,April
2014-04-30 21:20:00,40.7501,-74.0025,B02617,13.70549006916576,342.63725172914394,3.9388855906198095,Mini,Completed,Cash,21,Wednesday,April
2014-04-26 14:52:00,40.7202,-74.012,B02682,5.605835768855854,140.14589422139636,3.9736223105499393,Mini,Cancelled,Card,14,Saturday,April
2014-04-30 22:42:00,40.6815,-73.9573,B02617,13.83156963394326,345.78924084858147,4.3512666987120925,Sedan,Completed,Cash,22,Wednesday,April
2014-04-22 18:31:00,40.7475,-73.9739,B02598,2.644019563940719,66.10048909851798,3.542846734833255,SUV,Completed,UPI,18,Tuesday,April
2014-04-28 01:22:00,40.7194,-73.9642,B02598,8.269724925472097,206.74312313680244,4.551409314310628,SUV,Completed,Card,1,Monday,April
2014-04-22 13:46:00,40.7396,-73.9908,B02598,10.99695113059064,274.923778264766,4.032676829347915,Mini,Completed,Cash,13,Tuesday,April
2014-04-25 16:26:00,40.6736,-73.9529,B02598,18.81093036426268,470.27325910656697,3.91448690682803,SUV,Completed,Card,16,Friday,April
2014-04-04 19:08:00,40.7294,-73.9876,B02682,16.4757152498766,411.892881246915,4.186011506920798,Mini,Completed,UPI,19,Friday,April
2014-04-01 15:43:00,40.7447,-73.9727,B02598,14.582089611686673,364.5522402921668,4.565576242009487,Mini,Completed,UPI,15,Tuesday,April
2014-04-18 11:37:00,40.7428,-73.9904,B02682,7.075705403468344,176.8926350867086,3.646345269987141,Mini,Completed,UPI,11,Friday,April
2014-04-08 05:50:00,40.7293,-73.9574,B02682,2.3421396148677864,58.55349037169466,4.988572419908958,SUV,Completed,UPI,5,Tuesday,April
2014-04-29 16:09:00,40.7574,-73.9754,B02617,15.922175576633084,398.0543894158271,4.403876866675357,Sedan,Cancelled,Cash,16,Tuesday,April
2014-04-16 13:50:00,40.7052,-74.0137,B02682,19.9309038253349,498.2725956333725,4.880779626748583,Sedan,Completed,Cash,13,Wednesday,April
2014-04-11 09:38:00,40.7334,-73.9899,B02598,14.84217748876406,371.0544372191015,4.80402182701412,Mini,Completed,Card,9,Friday,April
2014-04-04 19:49:00,40.7711,-73.9618,B02598,19.38271842514553,484.5679606286383,3.5733126476269983,Mini,Completed,Card,19,Friday,April
2014-04-09 07:17:00,40.7751,-73.9595,B02617,7.432254828601849,185.80637071504623,4.090597562294576,SUV,Completed,Cash,7,Wednesday,April
2014-04-23 23:23:00,40.7447,-73.9909,B02682,18.399169559051987,459.9792389762997,4.39376574933027,Sedan,Completed,Card,23,Wednesday,April
2014-04-27 15:43:00,40.6445,-73.7832,B02598,17.400210966162557,435.005274154064,4.282626515797757,Mini,Completed,Cash,15,Sunday,April
2014-04-02 15:36:00,40.7401,-73.995,B02682,1.3160934535261664,32.90233633815416,4.117717607444985,Mini,Completed,Card,15,Wednesday,April
2014-04-20 08:19:00,40.7523,-73.9851,B02598,14.519434025337178,362.98585063342944,4.5459603297333775,SUV,Completed,Card,8,Sunday,April
2014-04-13 01:01:00,40.7463,-73.9723,B02598,9.350073393087714,233.75183482719285,4.370052345985307,SUV,Completed,Cash,1,Sunday,April
2014-04-22 20:25:00,40.7559,-73.9861,B02598,19.848108902521258,496.2027225630314,4.144014620610947,Sedan,Completed,Cash,20,Tuesday,April
2014-04-10 19:32:00,40.7565,-73.9766,B02682,3.505719971811671,87.64299929529177,4.528881113912615,Sedan,Completed,Card,19,Thursday,April
2014-04-24 20:45:00,40.7227,-73.986,B02598,6.863196450575247,171.57991126438117,4.680009604551103,Sedan,Completed,Card,20,Thursday,April
2014-04-27 03:15:00,40.7137,-73.9943,B02617,5.118363024332309,127.95907560830771,4.581310750137384,SUV,Cancelled,UPI,3,Sunday,April
2014-04-20 20:16:00,40.7191,-73.999,B02682,10.108864948406907,252.72162371017268,4.0879933942222575,Sedan,Completed,Card,20,Sunday,April
2014-04-07 19:55:00,40.7448,-73.9818,B02682,11.779906409177975,294.49766022944937,3.526194230923742,Sedan,Completed,Cash,19,Monday,April
2014-04-03 14:12:00,40.7009,-73.9453,B02598,14.635663075591172,365.89157688977934,3.6776172733213777,SUV,Completed,Cash,14,Thursday,April
2014-04-26 10:52:00,40.7602,-73.9719,B02682,19.121530838009665,478.0382709502416,4.9695014671099536,Mini,Completed,Card,10,Saturday,April
2014-04-11 22:18:00,40.7429,-74.0077,B02682,18.90524511800744,472.6311279501859,3.608633489926201,Sedan,Cancelled,Cash,22,Friday,April
2014-04-06 15:40:00,40.7271,-74.0029,B02598,13.610026338880012,340.2506584720003,4.038009283688579,Sedan,Completed,UPI,15,Sunday,April
2014-04-02 15:02:00,40.7535,-73.9962,B02598,5.419715487429677,135.49288718574192,4.098875951377096,SUV,Cancelled,UPI,15,Wednesday,April
2014-04-03 16:33:00,40.7282,-74.0078,B02512,1.9318771474130505,48.29692868532626,4.151157124364216,Mini,Cancelled,Card,16,Thursday,April
2014-04-24 21:42:00,40.7306,-74.0017,B02598,17.808485298843173,445.2121324710793,3.8984954332343977,Mini,Completed,Card,21,Thursday,April
2014-04-30 19:33:00,40.7232,-73.9423,B02512,19.862028875378535,496.5507218844634,4.421287086140373,Mini,Completed,UPI,19,Wednesday,April
2014-04-09 06:02:00,40.7928,-73.9713,B02682,2.68782959732674,67.1957399331685,4.884705849229434,SUV,Cancelled,Cash,6,Wednesday,April
2014-04-29 17:24:00,40.749,-73.9763,B02682,2.3091583632944603,57.72895908236151,4.016619954056538,Mini,Completed,UPI,17,Tuesday,April
2014-04-07 17:23:00,40.7576,-73.9858,B02682,17.79867395036267,444.9668487590668,3.54978718202466,Sedan,Completed,UPI,17,Monday,April
2014-04-22 15:44:00,40.7642,-73.9709,B02598,10.5302070773581,263.2551769339525,3.5938672060364016,Mini,Completed,Card,15,Tuesday,April
2014-04-25 13:53:00,40.7218,-73.9986,B02598,8.448874143818006,211.22185359545017,4.989042806527904,SUV,Completed,UPI,13,Friday,April
2014-04-30 06:08:00,40.8082,-73.9425,B02682,7.342737887550565,183.5684471887641,4.11722318547574,SUV,Completed,Card,6,Wednesday,April
2014-04-16 06:52:00,40.7128,-73.9411,B02682,5.407148645281799,135.17871613204497,4.832892469850493,Mini,Completed,Card,6,Wednesday,April
2014-04-15 19:53:00,40.7601,-73.9802,B02617,15.448029410761944,386.2007352690486,3.8760530439455274,Mini,Completed,Card,19,Tuesday,April
2014-04-10 04:05:00,40.739,-74.0085,B02598,8.924643351642835,223.11608379107088,4.383711217081924,Mini,Completed,Cash,4,Thursday,April
2014-04-09 22:59:00,40.7513,-74.0039,B02682,10.972811728400496,274.32029321001244,4.0786901248787295,SUV,Completed,UPI,22,Wednesday,April
2014-04-27 19:05:00,40.7671,-73.9682,B02617,15.368548709887898,384.2137177471975,4.05870176583978,Mini,Completed,UPI,19,Sunday,April
2014-04-23 14:28:00,40.769,-73.9548,B02764,6.20719753673828,155.179938418457,4.74163631219383,Mini,Cancelled,Card,14,Wednesday,April
2014-04-17 16:44:00,40.7551,-73.9797,B02682,1.6094249601498607,40.23562400374652,3.908761945208401,Mini,Completed,UPI,16,Thursday,April
2014-04-30 07:20:00,40.778,-73.963,B02512,12.879397944126554,321.98494860316384,4.9259688235729655,SUV,Completed,Card,7,Wednesday,April
2014-04-27 10:24:00,40.7553,-73.9734,B02598,12.325151014956033,308.1287753739008,4.311925333560367,SUV,Completed,Card,10,Sunday,April
2014-04-28 15:30:00,40.7512,-73.975,B02682,18.609407304826767,465.2351826206692,3.963640222597692,Mini,Cancelled,UPI,15,Monday,April
2014-04-19 21:39:00,40.7347,-74.0003,B02682,6.351821147628094,158.79552869070235,4.010088393876142,Mini,Completed,Cash,21,Saturday,April
2014-04-17 15:25:00,40.7704,-73.954,B02617,12.500533876963864,312.5133469240966,4.9477193202436505,Mini,Completed,Cash,15,Thursday,April
2014-04-18 15:57:00,40.7284,-74.0069,B02617,6.005627164919138,150.14067912297847,4.32912772436935,Sedan,Completed,Cash,15,Friday,April
2014-04-25 05:50:00,40.7833,-73.9726,B02617,4.6965127088418805,117.41281772104702,4.543625828350445,Sedan,Completed,Cash,5,Friday,April
2014-04-08 13:03:00,40.7647,-73.9782,B02617,18.66540665445125,466.6351663612812,3.5137671289303984,Mini,Completed,Cash,13,Tuesday,April
2014-04-01 16:11:00,40.7588,-73.9701,B02598,7.061463857058261,176.53659642645653,4.634126021979062,SUV,Completed,Cash,16,Tuesday,April
2014-04-22 14:28:00,40.7632,-73.9654,B02598,5.633934254787834,140.84835636969586,4.039460107639661,SUV,Cancelled,Card,14,Tuesday,April
2014-04-30 19:12:00,40.7188,-73.9871,B02598,15.96496729433976,399.124182358494,4.964002906001516,Sedan,Completed,Card,19,Wednesday,April
2014-04-20 21:37:00,40.7677,-73.9831,B02682,15.422112811176794,385.5528202794199,4.64847989543515,Sedan,Completed,Cash,21,Sunday,April
2014-04-16 08:46:00,40.7584,-73.989,B02682,17.725840093891833,443.1460023472959,4.310877284284833,Mini,Completed,Cash,8,Wednesday,April
2014-04-24 05:47:00,40.8054,-73.9636,B02598,4.121805035944824,103.0451258986206,3.5000847000680277,Sedan,Completed,Card,5,Thursday,April
2014-04-25 19:41:00,40.7618,-73.9651,B02764,19.621556164603923,490.5389041150981,4.445398831127927,Sedan,Cancelled,Card,19,Friday,April
2014-04-07 18:59:00,40.7599,-73.9673,B02682,14.823514364703026,370.5878591175757,4.769487064640715,Sedan,Completed,Card,18,Monday,April
2014-04-08 16:18:00,40.7655,-73.9757,B02682,8.19686495870317,204.92162396757925,4.911161427296435,Sedan,Completed,Card,16,Tuesday,April
2014-04-18 21:35:00,40.7346,-74.0006,B02682,10.261560432491372,256.5390108122843,4.677154649396594,Sedan,Completed,Card,21,Friday,April
2014-04-04 19:33:00,40.7607,-73.986,B02512,9.672296965777331,241.80742414443333,4.634789989524931,Sedan,Completed,Cash,19,Friday,April
2014-04-18 22:29:00,40.7177,-74.0127,B02682,6.8638365855904215,171.59591463976054,4.1125778233751085,Sedan,Completed,UPI,22,Friday,April
2014-04-15 17:23:00,40.7585,-73.9714,B02682,1.7523861428742975,43.809653571857446,4.854744750077849,SUV,Completed,UPI,17,Tuesday,April
2014-04-24 11:56:00,40.7097,-74.0086,B02598,6.48828632621948,162.207158155487,4.736964444775008,Sedan,Completed,UPI,11,Thursday,April
2014-04-17 07:24:00,40.793,-73.9739,B02682,11.274707938673547,281.8676984668387,3.6215097390518327,Mini,Completed,UPI,7,Thursday,April
2014-04-06 20:38:00,40.7741,-73.9609,B02682,12.173746825999714,304.3436706499929,3.6709021978590712,Mini,Completed,Card,20,Sunday,April
2014-04-14 17:14:00,40.7711,-73.9578,B02598,5.599891184696209,139.9972796174052,4.579834403651692,Sedan,Completed,Card,17,Monday,April
2014-04-30 15:24:00,40.6464,-73.7902,B02598,16.0985455056582,402.463637641455,4.1436237513277945,Sedan,Completed,UPI,15,Wednesday,April
2014-04-30 20:27:00,40.7639,-73.9762,B02682,6.573889585285545,164.3472396321386,4.240658623447019,Mini,Cancelled,Card,20,Wednesday,April
2014-04-07 11:35:00,40.7559,-73.9919,B02682,19.498820898018582,487.47052245046456,3.5247829528403933,SUV,Completed,UPI,11,Monday,April
2014-04-14 22:16:00,40.6538,-73.9731,B02617,18.34979957261499,458.7449893153748,3.75513767431978,Sedan,Completed,UPI,22,Monday,April
2014-04-07 19:05:00,40.7292,-73.9944,B02598,17.613028197653055,440.3257049413264,3.772417037153715,Mini,Completed,Cash,19,Monday,April
2014-04-06 01:07:00,40.8026,-73.9642,B02682,9.176403121625883,229.41007804064708,4.674410615916408,Mini,Cancelled,Card,1,Sunday,April
2014-04-09 20:06:00,40.7715,-73.9615,B02764,4.077999936189618,101.94999840474046,3.83770953527178,SUV,Completed,Card,20,Wednesday,April
2014-04-16 07:14:00,40.7748,-73.9909,B02617,19.377252000782512,484.4313000195628,4.859752984348384,SUV,Completed,UPI,7,Wednesday,April
2014-04-11 07:09:00,40.7474,-74.0029,B02617,5.706931535121684,142.6732883780421,4.541691882516242,SUV,Completed,UPI,7,Friday,April
2014-04-09 14:19:00,40.7085,-73.5791,B02617,17.497214389044778,437.4303597261194,4.550898215675759,SUV,Completed,UPI,14,Wednesday,April
2014-04-14 12:43:00,40.7303,-73.9923,B02682,7.253396839780665,181.33492099451664,4.792488131112052,Sedan,Completed,UPI,12,Monday,April
2014-04-14 14:07:00,40.7255,-74.0043,B02682,16.42191417931317,410.5478544828292,4.6345931820073965,Sedan,Completed,UPI,14,Monday,April
2014-04-26 23:00:00,40.7389,-73.9928,B02682,1.4032198485962717,35.08049621490679,3.968112377440113,Mini,Completed,UPI,23,Saturday,April
2014-04-17 12:16:00,40.7534,-73.9723,B02617,2.392615011305978,59.815375282649455,3.834146817327471,SUV,Completed,UPI,12,Thursday,April
2014-04-25 13:29:00,40.7506,-73.9872,B02682,9.26873748191183,231.71843704779573,4.21254187492151,SUV,Completed,Cash,13,Friday,April
2014-04-05 21:18:00,40.6484,-73.7832,B02598,19.13672146357512,478.418036589378,3.9048159312418753,SUV,Completed,Card,21,Saturday,April
2014-04-15 20:36:00,40.7351,-74.0002,B02512,19.16443694708029,479.1109236770072,4.60109264528637,Sedan,Completed,Card,20,Tuesday,April
2014-04-18 18:18:00,40.7131,-73.9933,B02598,13.499855434755748,337.4963858688937,3.6570489518737577,Mini,Completed,Card,18,Friday,April
2014-04-25 14:42:00,40.6466,-73.7897,B02617,11.37932624406398,284.4831561015995,4.090761114372917,Sedan,Completed,Card,14,Friday,April
2014-04-23 21:33:00,40.6747,-73.9406,B02617,8.868156348246961,221.703908706174,4.072308247368124,SUV,Completed,Cash,21,Wednesday,April
2014-04-27 00:07:00,40.7223,-73.987,B02598,11.321300473032498,283.03251182581243,4.106826038488109,Sedan,Completed,Cash,0,Sunday,April
2014-04-21 17:47:00,40.7513,-73.9892,B02598,19.72633460403512,493.158365100878,4.3479179414785225,Mini,Completed,Card,17,Monday,April
2014-04-15 22:38:00,40.7387,-73.9832,B02682,16.8645593428148,421.61398357037,3.513467237765541,Mini,Completed,Card,22,Tuesday,April
2014-04-13 18:25:00,40.7152,-74.0464,B02682,3.4602042725227844,86.50510681306962,4.191717792183654,SUV,Cancelled,Cash,18,Sunday,April
2014-04-02 07:22:00,40.7643,-73.9872,B02617,10.7822009587114,269.555023967785,4.23892600658265,Sedan,Completed,Cash,7,Wednesday,April
2014-04-27 12:18:00,40.7054,-74.0072,B02617,6.943766446682629,173.59416116706572,3.686311849100895,Sedan,Completed,Cash,12,Sunday,April
2014-04-24 16:28:00,40.6906,-73.9929,B02598,8.340407793966659,208.51019484916645,4.595289921659789,SUV,Completed,UPI,16,Thursday,April
2014-04-21 00:33:00,40.7825,-73.8112,B02682,10.161169170313157,254.0292292578289,3.959576229358485,Mini,Completed,Cash,0,Monday,April
2014-04-24 18:39:00,40.7388,-74.0088,B02598,8.001241613483927,200.03104033709815,4.538899100946436,Sedan,Cancelled,UPI,18,Thursday,April
2014-04-15 16:06:00,40.759,-73.9727,B02512,6.3389683145822735,158.47420786455683,4.284182731063795,Mini,Cancelled,UPI,16,Tuesday,April
2014-04-30 15:34:00,40.7177,-73.9921,B02682,10.015285535385294,250.3821383846324,4.74676002085444,Sedan,Completed,UPI,15,Wednesday,April
2014-04-03 21:39:00,40.7153,-74.0156,B02598,13.154889588855358,328.87223972138395,3.677145814016546,Mini,Cancelled,Cash,21,Thursday,April
2014-04-22 21:30:00,40.7431,-74.0075,B02598,13.228631786083389,330.7157946520847,4.457655257040549,Sedan,Cancelled,UPI,21,Tuesday,April
2014-04-08 03:58:00,40.7722,-73.9157,B02617,3.1075617917913987,77.68904479478496,4.310576212197397,Sedan,Cancelled,Card,3,Tuesday,April
2014-04-16 21:37:00,40.7075,-74.0098,B02598,7.840375581490142,196.00938953725355,4.132912883413125,Sedan,Completed,Cash,21,Wednesday,April
2014-04-10 15:30:00,40.7783,-73.9803,B02617,17.852865341623705,446.32163354059264,4.228498783009762,Sedan,Completed,UPI,15,Thursday,April
2014-04-03 08:51:00,40.7663,-73.9777,B02598,5.656872255442197,141.42180638605493,4.152529727148503,SUV,Completed,UPI,8,Thursday,April
2014-04-09 13:49:00,40.7259,-73.9976,B02682,2.3742166843480046,59.35541710870012,4.003479519903146,SUV,Cancelled,UPI,13,Wednesday,April
2014-04-12 22:02:00,40.7533,-73.996,B02617,6.651186131727094,166.27965329317735,4.398788129327551,Sedan,Completed,Card,22,Saturday,April
2014-04-19 09:06:00,40.6571,-73.9804,B02617,12.669026983945116,316.7256745986279,4.682996469240203,Sedan,Completed,UPI,9,Saturday,April
2014-04-29 16:00:00,40.7143,-74.0151,B02598,17.965911493084835,449.1477873271209,4.492833755657303,Sedan,Completed,Card,16,Tuesday,April
2014-04-13 02:14:00,40.717,-74.0331,B02598,10.514226309139504,262.8556577284876,4.831851420183629,Mini,Cancelled,Card,2,Sunday,April
2014-04-26 10:00:00,40.7075,-73.9418,B02617,16.388250165054032,409.7062541263508,4.470577443727431,Mini,Cancelled,Cash,10,Saturday,April
2014-04-04 21:13:00,40.6831,-73.9538,B02682,18.688195402547965,467.2048850636991,3.5435475349962897,SUV,Completed,Cash,21,Friday,April
2014-04-15 09:42:00,40.7014,-73.9816,B02682,7.8010065968608595,195.02516492152148,4.710833263587974,Mini,Completed,UPI,9,Tuesday,April
2014-04-23 16:02:00,40.747,-73.9807,B02598,3.177054026791013,79.42635066977533,4.077630102226308,SUV,Completed,Cash,16,Wednesday,April
2014-04-07 06:34:00,40.6484,-73.7832,B02682,6.390220054858185,159.7555013714546,3.662114750467498,Sedan,Completed,Cash,6,Monday,April
2014-04-15 18:22:00,40.672,-74.0107,B02682,8.380056063662765,209.50140159156916,4.841715542959687,Mini,Completed,UPI,18,Tuesday,April
2014-04-17 12:34:00,40.7681,-73.9604,B02682,3.79765002543371,94.94125063584276,4.751155069571205,SUV,Cancelled,Cash,12,Thursday,April
2014-04-28 20:30:00,40.747,-73.9884,B02617,13.734406674649886,343.36016686624714,3.5357127649964686,SUV,Completed,Card,20,Monday,April
2014-04-06 07:57:00,40.6789,-73.936,B02512,15.548678189322407,388.71695473306016,3.728202551163946,Mini,Completed,Card,7,Sunday,April
2014-04-03 21:03:00,40.7512,-73.9868,B02682,9.089748663379853,227.24371658449635,4.638748081520736,Mini,Completed,Cash,21,Thursday,April
2014-04-13 05:59:00,40.7372,-74.0005,B02682,12.944811193789066,323.62027984472667,3.7337479153516817,Sedan,Completed,Card,5,Sunday,April
2014-04-07 03:00:00,40.8158,-73.9352,B02598,9.771626806339542,244.29067015848852,3.803816980623417,Sedan,Completed,UPI,3,Monday,April
2014-04-04 07:31:00,40.7777,-73.9596,B02617,12.59553178343779,314.8882945859448,3.5961058095310343,Mini,Completed,Card,7,Friday,April
